epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,26.9559,0.63277,0.6998,1.0438,0.76904,0.48333,0.56109,0.27024,1.62251,1.94896,1.3863,2.7905e-05,2.7905e-05,2.7905e-05
66,27.3936,0.89666,1.98475,1.30233,0.80876,0.48333,0.58225,0.2494,1.61689,1.99389,1.3904,2.75753e-05,2.75753e-05,2.75753e-05
67,27.816,0.75277,0.87641,1.16648,0.80876,0.48333,0.58225,0.2494,1.61689,1.99389,1.3904,2.7222e-05,2.7222e-05,2.7222e-05
68,28.2174,0.64272,0.78324,1.0423,0.80876,0.48333,0.58225,0.2494,1.61689,1.99389,1.3904,2.68451e-05,2.68451e-05,2.68451e-05
69,28.6335,0.74585,0.72568,1.28277,0.77512,0.48333,0.56358,0.26422,1.6424,2.0395,1.39943,2.64447e-05,2.64447e-05,2.64447e-05
70,29.0303,0.9092,1.10153,1.35099,0.77512,0.48333,0.56358,0.26422,1.6424,2.0395,1.39943,2.60207e-05,2.60207e-05,2.60207e-05
71,29.4288,0.67225,0.69565,1.15501,0.77512,0.48333,0.56358,0.26422,1.6424,2.0395,1.39943,2.55731e-05,2.55731e-05,2.55731e-05
72,29.8543,0.62742,0.96957,1.15944,0.81577,0.48333,0.58264,0.26429,1.70805,2.09314,1.42543,2.5102e-05,2.5102e-05,2.5102e-05
73,30.3189,0.50963,0.58921,1.0604,0.81577,0.48333,0.58264,0.26429,1.70805,2.09314,1.42543,2.46073e-05,2.46073e-05,2.46073e-05
74,30.7337,1.07457,1.83633,1.48804,0.81577,0.48333,0.58264,0.26429,1.70805,2.09314,1.42543,2.40891e-05,2.40891e-05,2.40891e-05
75,31.1387,0.9795,0.93369,1.26647,0.78609,0.48333,0.53396,0.25392,1.6945,2.09476,1.40952,2.35472e-05,2.35472e-05,2.35472e-05
76,31.571,0.98488,0.94745,1.39128,0.78609,0.48333,0.53396,0.25392,1.6945,2.09476,1.40952,2.29819e-05,2.29819e-05,2.29819e-05
77,31.9617,0.75356,0.66024,1.07115,0.78609,0.48333,0.53396,0.25392,1.6945,2.09476,1.40952,2.23929e-05,2.23929e-05,2.23929e-05
78,32.3801,0.6553,1.01495,1.1188,0.79459,0.48333,0.53186,0.24039,1.73987,2.12471,1.43047,2.17805e-05,2.17805e-05,2.17805e-05
79,32.7881,0.88172,1.35821,1.33018,0.79459,0.48333,0.53186,0.24039,1.73987,2.12471,1.43047,2.11444e-05,2.11444e-05,2.11444e-05
80,33.1871,0.61912,0.62646,1.10787,0.79459,0.48333,0.53186,0.24039,1.73987,2.12471,1.43047,2.04848e-05,2.04848e-05,2.04848e-05
81,33.6037,0.7892,0.83624,1.09243,0.80088,0.46667,0.52889,0.25323,1.68397,2.13125,1.41177,1.98016e-05,1.98016e-05,1.98016e-05
82,33.9985,0.45704,0.45602,0.94517,0.80088,0.46667,0.52889,0.25323,1.68397,2.13125,1.41177,1.90949e-05,1.90949e-05,1.90949e-05
83,34.4272,0.6691,0.76501,1.03076,0.80088,0.46667,0.52889,0.25323,1.68397,2.13125,1.41177,1.83646e-05,1.83646e-05,1.83646e-05
84,34.8486,0.76874,1.29409,1.23095,0.83393,0.46639,0.5212,0.25807,1.72324,2.15671,1.42882,1.76107e-05,1.76107e-05,1.76107e-05
85,35.2513,0.6265,0.75845,1.17334,0.83393,0.46639,0.5212,0.25807,1.72324,2.15671,1.42882,1.68333e-05,1.68333e-05,1.68333e-05
86,35.6551,0.61937,0.82154,1.15294,0.83393,0.46639,0.5212,0.25807,1.72324,2.15671,1.42882,1.60323e-05,1.60323e-05,1.60323e-05
87,36.0597,0.59945,0.65496,1.10052,0.83393,0.46639,0.5212,0.25807,1.72324,2.15671,1.42882,1.52077e-05,1.52077e-05,1.52077e-05
88,36.4647,0.74064,0.9871,1.12327,0.83185,0.4664,0.52365,0.22676,1.71268,2.20624,1.42986,1.43596e-05,1.43596e-05,1.43596e-05
89,36.8624,0.68495,0.77037,1.17705,0.83185,0.4664,0.52365,0.22676,1.71268,2.20624,1.42986,1.34879e-05,1.34879e-05,1.34879e-05
90,37.2587,0.78317,0.66858,1.08709,0.83185,0.4664,0.52365,0.22676,1.71268,2.20624,1.42986,1.25927e-05,1.25927e-05,1.25927e-05
91,38.1357,0.55201,0.51668,1.04699,0.83185,0.4664,0.52365,0.22676,1.71268,2.20624,1.42986,1.16739e-05,1.16739e-05,1.16739e-05
92,38.6319,0.45737,0.49584,0.85513,0.79561,0.46689,0.5223,0.22641,1.69599,2.18924,1.43343,1.07315e-05,1.07315e-05,1.07315e-05
93,39.0621,0.4722,0.49044,0.95703,0.79561,0.46689,0.5223,0.22641,1.69599,2.18924,1.43343,9.76562e-06,9.76562e-06,9.76562e-06
94,39.4917,0.5949,0.6447,1.10752,0.79561,0.46689,0.5223,0.22641,1.69599,2.18924,1.43343,8.77613e-06,8.77613e-06,8.77613e-06
95,39.9238,0.57689,0.66107,1.08298,0.79561,0.46689,0.5223,0.22641,1.69599,2.18924,1.43343,7.76308e-06,7.76308e-06,7.76308e-06
96,40.3384,0.8226,0.76515,1.22377,0.83131,0.46605,0.52066,0.26073,1.69202,2.08831,1.41032,6.72648e-06,6.72648e-06,6.72648e-06
97,40.814,0.53559,0.47832,0.9013,0.83131,0.46605,0.52066,0.26073,1.69202,2.08831,1.41032,5.6663e-06,5.6663e-06,5.6663e-06
98,41.2332,0.52655,0.60463,1.00258,0.83131,0.46605,0.52066,0.26073,1.69202,2.08831,1.41032,4.58257e-06,4.58257e-06,4.58257e-06
99,41.6297,0.5675,0.52655,1.01108,0.83131,0.46605,0.52066,0.26073,1.69202,2.08831,1.41032,3.47528e-06,3.47528e-06,3.47528e-06
100,42.0459,0.47051,0.44456,0.93738,0.83932,0.46443,0.53408,0.28008,1.63037,1.96461,1.37646,2.34442e-06,2.34442e-06,2.34442e-06
